21 - 22	57,92	105,06	119,96	122,26	125,43	135,02	145,78	156,50
22 - 23	35,45	94,98	131,80	129,50	123,82	129,11	139,82	147,50
23 - 00	23,32	82,20	130,17	129,50	109,70	119,00	132,50	140,14

00 - 01	120,79	124,00	110,03	111,40	79,66	117,39	133,86	9,57
01 - 02	112,28	114,94	106,00	105,87	74,57	107,59	124,69	4,55
02 - 03	111,56	113,06	99,60	97,99	71,69	103,80	122,65	4,16
03 - 04	108,65	110,18	99,18	95,00	65,17	100,00	120,51	2,36
04 - 05	110,00	110,25	98,74	96,18	66,78	98,07	120,67	4,16
05 - 06	118,21	116,40	103,36	99,80	81,59	103,82	131,81	12,85
06 - 07	130,09	135,77	100,00	103,50	111,30	129,57	144,52	50,17
07 - 08	145,66	148,43	102,45	105,43	126,28	142,35	173,02	94,36
08 - 09	143,66	148,51	101,44	100,64	117,70	138,03	185,31	100,11
09 - 10	128,71	137,56	102,26	102,55	111,15	117,12	166,39	90,38
10 - 11	115,11	122,75	100,25	96,92	110,25	103,20	155,34	75,92
11 - 12	107,04	115,79	99,06	91,10	93,52	91,54	144,63	60,98
12 - 13	102,45	104,65	97,33	84,06	78,69	85,57	137,74	48,06
13 - 14	100,09	100,10	94,04	80,42	80,38	78,93	122,05	56,44
14 - 15	99,10	101,93	95,01	87,52	89,51	81,11	118,78	66,39
15 - 16	99,00	104,94	98,67	92,08	99,03	85,53	119,69	62,88
16 - 17	102,46	114,06	106,09	104,43	109,54	96,35	132,52	83,29
17 - 18	114,07	133,32	125,21	130,74	126,89	120,15	150,80	130,03
18 - 19	132,93	151,00	145,00	156,95	136,11	132,70	182,30	152,51
19 - 20	143,90	165,47	152,91	169,54	141,63	130,89	199,72	200,41
20 - 21	137,33	152,36	144,71	144,15	130,30	117,14	175,25	179,84
21 - 22	109,73	135,49	135,27	132,92	115,00	102,49	147,36	157,77
22 - 23	108,45	127,50	132,90	129,95	110,35	102,47	139,35	152,34
23 - 00	95,46	117,04	130,00	118,46	109,50	89,01	127,63	143,96

00 - 01	98,53	131,77	96,00	63,84	35,58	56,74	71,72	79,93
01 - 02	95,19	120,00	94,15	53,53	17,32	46,15	69,90	76,24
02 - 03	98,67	114,80	87,48	54,53	7,33	43,43	60,46	75,79
03 - 04	99,44	110,93	83,99	55,86	1,32	42,67	52,51	71,79
